IP Address,Min,Avg,Max,Mdev
1.224.3.122,156.142,156.176,156.219,0.031 ms
1.255.134.136,156.697,156.714,156.726,0.012 ms
1.36.76.220,173.707,174.038,174.565,0.376 ms
1.4.214.148,261.503,267.676,273.115,4.768 ms
101.32.243.126,232.398,235.793,239.913,3.110 ms
103.105.212.106,231.147,231.198,231.297,0.070 ms
103.114.98.217,277.898,282.3,287.522,3.971 ms
103.117.192.14,274.563,278.224,285.351,5.039 ms
103.121.215.34,231.196,234.676,238.547,3.013 ms
103.122.32.10,227.906,228.888,229.388,0.694 ms
103.123.235.58,256.905,267.078,276.696,8.089 ms
103.15.60.21,258.046,258.503,259.347,0.597 ms
103.199.169.30,376.574,379.561,382.169,2.299 ms
103.21.244.36,4.092,4.135,4.194,0.043 ms
103.21.244.39,4.318,4.402,4.547,0.102 ms
103.21.244.63,4.145,4.198,4.226,0.037 ms
103.21.244.95,4.175,4.193,4.224,0.022 ms
103.212.99.235,170.671,170.694,170.739,0.031 ms
103.221.254.121,298.55,298.556,298.562,0.005 ms
103.221.54.113,267.411,270.256,273.101,2.845 ms
103.23.101.193,212.972,212.999,213.026,0.022 ms
103.23.236.238,270.789,277.331,286.153,6.476 ms
103.248.93.5,243.107,243.117,243.123,0.007 ms
103.25.209.50,226.707,226.963,227.275,0.235 ms
103.4.117.161,237.524,238.063,238.492,0.402 ms
103.65.214.147,225.94,252.163,290.162,27.508 ms
103.75.27.58,206.174,206.257,206.375,0.085 ms
103.79.96.145,230.877,239.812,246.097,6.490 ms
103.86.49.133,252.627,254.713,256.353,1.553 ms
104.223.135.178,56.685,56.808,56.94,0.104 ms
104.236.78.102,31.332,31.61,32.118,0.359 ms
106.0.48.132,213.716,213.931,214.218,0.211 ms
107.152.33.142,12.328,12.337,12.343,0.006 ms
107.152.44.51,31.483,31.551,31.603,0.050 ms
109.110.35.210,265.75,265.912,266.192,0.198 ms
109.194.101.128,150.223,150.243,150.263,0.020 ms
109.68.148.60,157.976,158.118,158.309,0.140 ms
109.73.32.10,176.663,176.765,176.838,0.074 ms
110.238.73.59,300.097,300.134,300.187,0.038 ms
110.77.134.106,252.079,252.163,252.213,0.059 ms
110.77.161.197,246.063,246.172,246.24,0.078 ms
110.78.149.235,269.808,296.567,345.033,34.332 ms
111.225.153.206,269.698,269.837,270.029,0.139 ms
112.229.107.62,366.093,380.985,395.337,11.944 ms
112.78.134.211,214.343,214.797,215.468,0.484 ms
112.78.137.106,197.631,200.295,204.859,3.241 ms
113.23.176.254,192.039,192.053,192.069,0.012 ms
113.53.94.12,291.508,291.695,291.882,0.187 ms
116.107.50.247,251.899,252.438,252.876,0.405 ms
116.202.209.248,131.384,131.431,131.472,0.036 ms
116.58.232.187,244.219,245.22,246.246,0.827 ms
116.90.229.186,299.881,303.983,311.931,5.620 ms
117.242.100.163,247.134,247.217,247.37,0.108 ms
117.29.80.222,246.948,248.885,252.487,2.549 ms
118.137.71.3,222.696,223.354,224.316,0.695 ms
118.172.187.127,257.168,258.473,260.382,1.379 ms
118.238.12.55,125.347,126.46,127.727,0.977 ms
118.67.223.4,284.464,291.398,300.627,6.794 ms
118.99.102.124,199.414,199.575,199.735,0.131 ms
119.18.84.22,176.417,179.126,183.239,2.956 ms
119.18.87.34,176.671,177.267,177.61,0.423 ms
119.3.158.56,228.558,228.614,228.709,0.067 ms
12.11.59.114,51.496,55.943,64.802,6.263 ms
120.28.194.30,243.699,243.88,244.165,0.203 ms
121.101.134.22,227.205,233.233,244.71,8.118 ms
121.126.5.169,208.917,502.2,867.517,273.654 ms
121.227.58.94,243.058,245.286,248.275,2.196 ms
122.136.212.132,403.618,416.474,435.712,13.857 ms
122.9.151.210,291.098,291.141,291.184,0.043 ms
123.200.17.107,266.081,268.189,270.196,1.681 ms
123.200.6.226,275.774,280.74,285.707,4.966 ms
123.56.106.161,246.258,246.266,246.274,0.008 ms
124.121.92.216,234.626,242.359,250.611,6.536 ms
124.40.246.210,234.26,234.37,234.572,0.142 ms
125.209.88.46,291.026,291.621,292.015,0.428 ms
128.199.202.122,228.502,228.747,229.185,0.310 ms
128.199.243.33,227.781,228.035,228.496,0.326 ms
131.0.226.198,219.703,219.996,220.529,0.377 ms
131.72.68.253,129.742,129.785,129.824,0.033 ms
132.148.6.255,54.661,54.739,54.779,0.055 ms
132.255.210.113,118.4,118.85,119.695,0.597 ms
134.122.58.174,120.49,120.709,120.943,0.185 ms
134.209.105.160,227.325,227.541,227.94,0.282 ms
135.181.32.230,124.213,124.267,124.372,0.074 ms
136.243.134.87,131.738,131.767,131.795,0.023 ms
137.184.197.190,31.035,33.485,38.316,3.415 ms
