IP Address,Latency
1.14.139.184,129.4636065
1.20.225.235,131.0599867
1.224.3.122,0.163830212
1.255.134.136,0.1660315
1.36.76.10,130.7114134
1.36.76.102,131.0619437
1.36.76.168,131.0619975
1.36.76.220,131.0640821
1.4.214.148,0.258900867
101.109.30.178,130.7946694
101.32.243.126,131.0585275
101.51.3.84,131.0702064
102.130.192.231,0.235392876
103.105.212.106,130.8151183
103.105.86.62,131.0619635
103.111.189.14,131.0613373
103.113.195.106,131.0614621
103.114.98.217,0.2829655
103.117.192.14,0.280682288
103.119.55.21,130.4804982
103.121.215.34,0.230872968
103.122.32.10,7.402412666
103.123.235.58,0.266882512
103.15.60.21,129.2749139
103.19.130.50,131.061466
103.199.169.30,131.0612516
103.21.244.36,0.006197907
103.21.244.39,0.005897418
103.21.244.63,0.005842631
103.21.244.95,0.005751456
103.212.99.235,0.17641484
103.221.254.121,130.844678
103.221.54.113,131.0621138
103.23.101.193,0.222078544
103.23.236.238,0.284588266
103.248.93.5,130.5314361
103.25.209.50,0.225126292
103.31.235.74,0.258134594
103.31.251.69,130.5585536
103.36.8.244,0.796252514
103.4.117.161,0.245114555
103.65.214.147,0.228773921
103.74.147.22,129.7625866
103.75.27.58,0.217639179
103.77.41.138,130.8347364
103.78.27.44,131.0615209
103.79.96.145,0.24189673
103.86.49.133,0.27454971
103.94.123.214,130.5250069
104.154.67.127,131.0615804
104.208.115.113,0.198379272
104.208.119.205,0.198936224
104.208.71.196,130.6441021
104.208.74.76,131.0650318
104.208.75.168,131.0586339
104.208.83.99,131.0610929
104.208.97.127,131.067644
104.208.97.22,131.0622552
104.208.98.217,0.192959447
104.208.99.32,130.8580351
104.208.99.66,131.0624727
104.223.135.178,131.0615511
104.236.78.102,0.041480081
104.45.128.122,0.037576874
106.0.48.132,130.9629639
106.14.255.124,131.0613382
107.1.93.211,0.073781342
107.1.93.222,0.07378756
107.148.193.177,130.8946802
107.152.33.142,0.021412678
107.152.44.51,0.040325006
107.173.148.253,130.9794851
108.61.175.7,131.0618076
109.110.35.210,0.280570092
109.194.101.128,130.7707658
109.68.148.60,0.219151155
109.73.32.10,0.198206292
110.238.73.59,130.6234948
110.34.1.46,131.0615508
110.77.134.106,0.245609196
110.77.161.197,130.8050465
110.78.149.235,0.260056221
110.83.46.232,130.7880522
111.225.153.206,131.0713709
111.68.40.15,131.0602735
112.229.107.62,131.0660033
112.78.134.211,131.0615635
112.78.137.106,131.0622268
113.23.176.254,0.19813712
113.30.153.127,0.11781244
113.30.153.3,0.119036551
113.30.154.149,0.117228133
113.30.155.159,0.118712213
113.30.155.230,0.117778365
113.30.155.34,0.117962426
113.53.94.12,0.272972927
113.69.25.224,129.7990027
114.115.223.222,131.061918
114.223.9.195,131.0612921
114.43.107.21,0.235396288
115.218.59.83,130.8160216
115.243.238.43,131.0617484
115.243.238.45,131.0619418
115.42.2.252,131.0615382
116.0.4.54,131.0614626
116.107.50.247,131.0617263
116.193.175.48,0.221177422
116.202.209.248,0.140049934
116.58.232.187,130.6805585
116.90.229.186,0.305083433
117.212.192.220,130.746411
117.242.100.163,131.0613862
117.29.80.222,131.0620193
118.137.71.3,0.226482499
118.172.187.127,130.8264596
118.175.93.94,131.0596034
118.238.12.55,0.13621421
118.67.223.4,0.284784383
118.99.102.124,0.208636743
119.18.84.22,130.4022791
119.18.87.34,0.186004419
119.18.88.62,130.8639402
119.3.122.177,131.0611982
119.3.158.56,131.0611693
119.42.152.252,131.0619781
119.51.198.61,131.0625394
12.11.59.114,0.060289596
120.28.194.30,0.253336212
121.101.134.22,0.235397485
121.126.105.81,0.18999933
121.126.106.184,0.193409686
121.126.109.159,0.189912337
121.126.119.30,0.197382688
121.126.12.236,0.189478191
121.126.126.156,0.190677406
121.126.128.199,0.191790893
121.126.134.24,0.189176164
121.126.161.75,0.195470049
121.126.178.62,0.19081088
121.126.182.122,0.194325165
121.126.182.16,0.193910966
121.126.191.238,0.193306113
121.126.203.33,0.198856915
121.126.220.74,0.19716906
121.126.222.111,0.190489881
121.126.244.26,0.197388039
121.126.246.146,0.193938382
121.126.248.103,0.190919338
121.126.251.113,0.188882322
121.126.251.251,0.194047715
121.126.40.100,0.186729871
121.126.43.186,0.192091567
121.126.5.169,0.371777868
121.126.57.29,0.195201893
121.126.57.31,0.193128605
121.126.58.216,0.18766935
121.126.61.54,0.192481105
121.126.64.70,0.189277097
121.126.65.9,0.195561106
121.126.82.125,0.196078081
121.227.58.94,130.1693798
122.136.212.132,131.0620734
122.9.151.210,0.269961265
123.145.123.58,130.7808715
123.200.17.107,0.275498081
123.200.6.226,0.272426332
123.56.106.161,130.4923049
124.121.92.216,131.0617504
124.198.10.254,0.191780458
124.198.109.176,0.192319628
124.198.109.179,0.188742766
124.198.114.76,0.186874881
124.198.115.122,0.191070476
124.198.115.58,0.189058559
124.198.16.22,0.189826511
124.198.26.3,0.192603033
124.198.34.87,0.19886139
124.198.42.147,0.188126585
124.198.42.89,0.190122944
124.198.43.172,0.19101822
124.198.61.213,0.191068944
124.198.63.23,0.193258892
124.198.70.1,0.94983118
124.198.71.163,0.190641298
124.198.88.51,1.227191478
124.198.95.47,0.190999334
124.40.246.210,129.7441825
125.209.88.46,1.308269847
125.7.136.198,0.188767203
125.7.154.182,0.189589707
125.7.161.169,0.184512683
125.7.161.192,0.197815514
125.7.175.238,0.19069606
125.7.176.43,0.192136541
125.7.184.10,0.191948423
125.7.185.209,0.199136959
125.99.58.110,130.1920588
126.28.52.99,131.0617412
128.199.202.122,0.237805468
128.199.243.33,0.233678195
128.90.142.199,130.5693393
128.90.171.188,131.061464
13.57.67.22,131.0616559
13.76.163.138,131.0613433
13.76.245.159,131.0594183
13.76.32.91,131.0697032
130.41.55.190,131.0623105
130.51.201.87,131.0614618
131.0.226.198,0.166893179
131.72.68.253,0.139092212
132.148.6.255,0.063712223
132.255.210.113,130.6603556
134.122.58.174,0.130463811
134.209.105.160,0.237543454
135.181.32.230,0.133817312
136.233.251.156,130.5281132
136.233.251.157,131.061853
136.243.134.87,0.140050407
137.184.197.190,130.9114616
137.74.90.232,131.0609092
138.118.123.134,131.0619699
138.118.213.213,0.218007278
138.121.113.164,0.218656959
138.68.136.139,130.6048282
138.68.235.51,131.0628345
138.68.75.207,131.0613302
139.162.44.152,0.21454058
139.196.73.1,0.228034846
139.255.63.170,0.214786317
139.255.88.52,0.226984403
139.99.131.74,0.210744443
139.99.237.62,0.263551671
14.161.27.174,129.6392352
14.177.7.187,131.0617064
14.207.145.52,131.0617718
14.232.166.150,131.0615638
14.99.85.141,131.0616248
140.227.61.156,2.38223189
140.83.32.175,1.139434186
141.193.213.107,0.013173341
141.193.213.59,0.013275542
142.147.114.50,3.105068228
142.93.223.246,130.5016053
143.198.152.50,131.0623059
143.198.182.218,0.041048759
143.47.177.138,131.0104126
144.76.42.215,0.140786042
145.239.85.58,130.9112838
146.190.18.150,131.0612372
146.196.123.211,0.281757524
146.56.119.252,130.7696571
148.251.143.81,131.0621557
148.251.191.8,131.0609471
149.129.213.200,0.249803742
149.18.28.37,130.8016283
149.18.28.56,131.0616216
149.18.28.83,131.0610651
149.18.28.88,131.0621623
149.18.29.12,131.0619268
149.18.31.204,131.0616624
149.18.31.36,131.0618207
149.18.56.153,131.0615539
149.18.56.242,131.0619166
149.18.57.167,131.0619734
149.18.57.30,131.0588224
149.18.58.122,131.0695574
149.57.13.137,131.0616442
149.57.14.125,131.0616452
149.57.15.60,131.0619042
151.181.91.10,131.0617037
151.74.250.186,0.166051809
152.169.187.209,130.884939
152.200.154.131,0.140240166
152.67.222.187,130.9089136
152.67.75.117,131.0689057
152.70.53.167,131.0612247
152.70.82.137,131.0622068
154.113.32.26,131.0616218
154.13.4.76,0.065035985
154.13.4.77,0.065398586
154.13.4.78,0.065683981
154.13.4.79,0.065388631
154.13.4.80,0.06582651
154.212.7.242,0.074499678
154.216.191.190,130.5999042
154.221.25.47,131.0612443
154.236.177.100,0.191595274
154.236.184.71,130.8651489
154.236.184.84,131.0617661
154.236.189.30,131.0614448
154.239.1.77,0.986011241
154.61.143.238,130.0663585
154.92.126.157,0.177418314
156.200.116.68,0.178869272
156.238.7.116,0.148597102
156.67.214.200,130.5253297
157.100.26.69,0.161317523
157.100.56.94,0.162530713
157.119.211.133,130.7171222
157.245.33.31,131.061718
157.90.151.147,131.0621235
158.101.23.25,131.0612826
158.101.98.148,131.0622471
158.69.185.37,0.043296591
158.69.52.218,131.0125347
158.69.53.132,131.061694
159.138.166.178,131.0616177
159.138.170.65,131.0614245
159.192.138.170,131.0616334
159.192.253.73,131.0617218
159.197.128.41,131.0620688
159.203.84.241,0.040484197
159.223.228.228,131.0110768
159.223.87.53,0.224701492
159.224.243.185,0.150225326
159.69.245.208,130.6659277
159.89.228.253,0.039932333
161.117.89.36,0.235730212
161.35.161.38,130.7667119
161.35.214.127,131.0622183
161.35.223.141,0.12379282
162.19.50.37,130.9284987
162.19.7.56,131.0621115
162.241.43.120,0.044710547
162.241.43.121,0.044850574
162.243.174.235,0.040767579
162.247.241.1,0.013387337
162.247.241.16,0.01319478
162.247.241.2,0.012852074
162.247.241.6,0.013237387
162.247.243.147,130.8124156
162.247.243.149,131.0618588
162.247.243.158,131.0619928
162.247.243.189,131.0620434
162.247.243.198,131.061881
162.247.243.53,131.0619814
162.252.146.129,0.066739464
162.55.186.138,0.137996983
162.55.188.222,130.8358167
163.172.168.124,131.0617471
163.172.182.164,131.0617746
163.172.209.85,0.114125781
164.68.105.235,0.136855237
164.68.98.169,38.03883073
164.92.206.126,0.118403102
164.92.75.10,129.4824342
165.154.225.65,0.194906383
165.154.226.12,130.857056
165.154.226.242,131.0617769
165.154.227.188,0.210083428
165.154.235.156,0.057251903
165.154.235.178,0.056905043
165.154.235.188,0.054918498
165.154.235.76,0.054035569
165.154.243.154,130.5825592
165.154.243.209,131.0614534
165.154.243.252,0.210448991
165.16.27.31,130.841197
165.227.71.60,131.0616055
167.172.158.85,0.040424704
167.172.172.234,131.0120567
167.172.178.68,131.061087
167.172.96.117,131.0618903
167.71.199.211,3.257122337
167.71.238.97,0.274491317
167.99.74.155,129.5571175
168.181.196.76,131.0614314
168.227.56.96,131.0613694
169.57.1.85,0.013206549
170.0.92.43,131.0382284
170.106.187.123,0.071161307
170.106.187.22,130.984066
170.106.188.14,131.0619414
170.106.188.215,131.0608791
170.150.32.206,0.194611882
170.155.2.119,130.8576683
170.233.176.128,0.208374924
170.238.79.2,0.147083498
170.246.85.108,0.128452415
170.254.201.38,0.200985225
170.254.201.40,0.200413096
171.233.79.234,0.235509271
171.97.200.7,0.248395782
172.104.115.95,0.180606899
172.104.206.170,0.222788146
172.104.241.29,0.122050647
172.105.13.173,131.1129168
172.105.150.126,131.0619019
172.105.184.208,131.0619579
172.64.141.2,0.038175037
172.64.150.229,0.013449796
172.64.157.2,0.013157843
172.64.158.169,0.013026788
172.67.0.26,0.024943907
172.67.0.6,0.025305307
172.67.128.62,0.025267041
172.67.133.207,0.02513922
172.67.144.93,0.025650087
172.67.148.92,0.025721442
172.67.165.119,0.02598883
172.67.167.15,0.025288567
172.67.167.159,0.02520327
172.67.167.30,0.025092766
172.67.170.16,0.025590265
172.67.172.12,0.026031348
172.67.176.11,0.026137203
172.67.176.180,0.025708681
172.67.176.218,0.025150653
172.67.176.222,0.025310925
172.67.176.250,0.025275859
172.67.176.58,0.025274633
172.67.176.87,0.025731623
172.67.177.132,0.025952685
172.67.179.210,0.02757921
172.67.180.14,0.025819668
172.67.180.205,0.025283334
172.67.180.24,0.025891568
172.67.180.250,0.025982035
172.67.180.251,0.025293019
172.67.180.39,0.025856502
172.67.180.4,0.025137526
172.67.180.53,0.025093208
172.67.180.58,0.025840834
172.67.180.59,0.025267388
172.67.181.107,0.026257055
172.67.181.122,0.02507198
172.67.181.126,0.02564807
172.67.181.156,0.026327938
172.67.181.162,0.025218919
172.67.181.195,0.02556179
172.67.181.210,0.026056044
172.67.181.251,0.030795671
172.67.181.26,0.02537367
172.67.181.33,0.025068061
172.67.181.74,0.025151787
172.67.181.87,0.025695885
172.67.181.91,0.025996092
172.67.182.128,0.025293761
172.67.182.132,0.024995864
172.67.182.14,0.025105192
172.67.182.142,0.025916799
172.67.182.163,0.025767989
